鳥種,數量,距離,結群,備註,組別,樣點編號,"棲地類型
 (其他說明)",X座標,Y座標,調查者,"調查旅次
編號",天氣代號,"開始時間
（時）","開始時間
（分）",年,月,日
喜鵲,1,A,N,,1,B3,,121.3205,25.0106,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,3,2024,3,21
喜鵲,2,A,N,,1,B3,,121.3205,25.0106,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,3,2024,3,21
麻雀,2,D,N,,1,B3,,121.3205,25.0106,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,3,2024,3,21
樹鵲,1,A,N,,1,B3,,121.3205,25.0106,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,3,2024,3,21
麻雀,2,D,N,,1,B3,,121.3205,25.0106,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,3,2024,3,21
喜鵲,2,A,N,,1,B3,,121.3205,25.0106,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,3,2024,3,21
白尾八哥,3,A,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,11,2024,3,21
紅鳩,1,A,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,11,2024,3,21
金背鳩,1,A,N,,1,B2,,121.3206,25.011,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,11,2024,3,21
喜鵲,2,D,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,22,2024,3,21
白尾八哥,2,A,N,,1,B1,,121.3206,25.0114,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,22,2024,3,21
珠頸斑鳩,1,D,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,36,2024,3,21
喜鵲,1,A,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,36,2024,3,21
麻雀,1,D,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,36,2024,3,21
喜鵲,2,A,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,36,2024,3,21
麻雀,2,D,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,36,2024,3,21
白頭翁,2,A,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,36,2024,3,21
家燕,2,D,N,,1,A1,,121.3205,25.0117,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,36,2024,3,21
金背鳩,3,A,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,48,2024,3,21
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,48,2024,3,21
麻雀,13,D,Y,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,48,2024,3,21
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,48,2024,3,21
黑領椋鳥,1,A,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,58,2024,3,21
黑領椋鳥,1,A,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,58,2024,3,21
麻雀,2,A,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,58,2024,3,21
麻雀,3,A,N,,1,A3,,121.3214,25.0119,許家芸、薛毓璇、蘇恩平、陳奕叡,2,B,9,58,2024,3,21
麻雀,4,A,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,0,2024,3,27
麻雀,2,D,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,0,2024,3,27
麻雀,4,A,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,0,2024,3,27
金背鳩,3,A,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,0,2024,3,27
白尾八哥,2,A,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,0,2024,3,27
麻雀,2,D,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,0,2024,3,27
麻雀,2,D,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,0,2024,3,27
麻雀,2,D,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,0,2024,3,27
白頭翁,2,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
野鴿,2,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
小白鷺,1,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
金背鳩,1,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
麻雀,4,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
小白鷺,1,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
小白鷺,1,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
野鴿,1,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
白尾八哥,2,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
蒼鷺,4,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,15,2024,3,27
金背鳩,4,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,28,2024,3,27
蒼鷺,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,28,2024,3,27
小白鷺,3,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,28,2024,3,27
野鴿,3,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,28,2024,3,27
金背鳩,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,28,2024,3,27
家燕,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,28,2024,3,27
蒼鷺,3,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,28,2024,3,27
小白鷺,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,28,2024,3,27
紅鳩,2,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,38,2024,3,27
麻雀,1,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,38,2024,3,27
白頭翁,3,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,38,2024,3,27
珠頸斑鳩,1,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,38,2024,3,27
喜鵲,2,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,38,2024,3,27
蒼鷺,1,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,38,2024,3,27
小白鷺,3,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,38,2024,3,27
野鴿,1,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,38,2024,3,27
黑冠麻鷺,1,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
蒼鷺,2,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
白頭翁,1,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
小白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
蒼鷺,3,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
蒼鷺,3,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
蒼鷺,2,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
小白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,50,2024,3,27
麻雀,3,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,58,2024,3,27
蒼鷺,2,D,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,58,2024,3,27
麻雀,4,D,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,58,2024,3,27
金背鳩,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,58,2024,3,27
麻雀,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,58,2024,3,27
喜鵲,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,3,C,16,58,2024,3,27
麻雀,3,A,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,6,2024,3,28
小白鷺,2,D,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,6,2024,3,28
家燕,3,D,N,,1,B3,,121.3205,25.0106,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,6,2024,3,28
麻雀,5,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
麻雀,3,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
黑領椋鳥,1,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
蒼鷺,2,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
蒼鷺,2,D,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
大卷尾,1,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
金背鳩,25,D,Y,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
麻雀,2,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
紅鳩,1,A,N,,1,B2,,121.3206,25.011,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,15,2024,3,28
五色鳥,1,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,27,2024,3,28
白尾八哥,1,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,27,2024,3,28
野鴿,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,27,2024,3,28
麻雀,3,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,27,2024,3,28
麻雀,3,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,27,2024,3,28
大白鷺,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,27,2024,3,28
白頭翁,1,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,39,2024,3,28
喜鵲,1,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,39,2024,3,28
大白鷺,1,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,39,2024,3,28
小白鷺,1,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,39,2024,3,28
小白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,48,2024,3,28
大白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,48,2024,3,28
大白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,48,2024,3,28
麻雀,2,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,48,2024,3,28
白頭翁,2,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,48,2024,3,28
蒼鷺,2,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,48,2024,3,28
麻雀,2,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,9,48,2024,3,28
喜鵲,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,10,0,2024,3,28
白頭翁,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,10,0,2024,3,28
白鶺鴒,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,10,0,2024,3,28
白尾八哥,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,10,0,2024,3,28
白頭翁,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,10,0,2024,3,28
喜鵲,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,10,0,2024,3,28
黑領椋鳥,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,4,C,10,0,2024,3,28
喜鵲,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
珠頸斑鳩,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
黑領椋鳥,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
白頭翁,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
麻雀,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
黑領椋鳥,2,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
白頭翁,2,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
白尾八哥,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
台灣藍鵲,1,A,N,,1,A3,,121.3214,25.0119,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,11,2024,4,3
蒼鷺,3,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
小白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
白尾八哥,1,A,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
大白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
大白鷺,2,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
麻雀,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
小白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
大白鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
蒼鷺,7,D,Y,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
蒼鷺,2,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
蒼鷺,1,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
蒼鷺,4,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
蒼鷺,4,D,N,,1,A2,,121.3209,25.0118,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,21,2024,4,3
喜鵲,1,A,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,32,2024,4,3
蒼鷺,2,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,32,2024,4,3
蒼鷺,3,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,32,2024,4,3
蒼鷺,2,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,32,2024,4,3
大白鷺,1,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,32,2024,4,3
蒼鷺,3,D,N,,1,A1,,121.3205,25.0117,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,32,2024,4,3
白尾八哥,2,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
白尾八哥,3,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
白尾八哥,2,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
喜鵲,1,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
蒼鷺,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
黑領椋鳥,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
白尾八哥,2,A,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
蒼鷺,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
家燕,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
蒼鷺,3,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
大白鷺,1,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
蒼鷺,2,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
蒼鷺,2,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
蒼鷺,2,D,N,,1,B1,,121.3206,25.0114,蘇恩平、陳奕叡、吳儒杰、薛毓璇、許家芸,5,C,17,40,2024,4,3
